algo,run_name,metadata_source,training_walltime_sec,eval_mean_reward,eval_std_reward,callback_best_mean_reward,best_smoothed_reward,hyperparameters,best_model_path,final_model_path,policy_path,episode_rewards_path,timesteps,eval_callback_mean,eval_callback_std,median_reward,mean_ep_length,source_file,score_for_rank,reward_rank
A2C,run_01,run,756.050851500011,110.162499875,50.61071577288157,86.766666625,,"{'learning_rate': 0.0005, 'gamma': 0.98, 'n_steps': 8, 'gae_lambda': 0.9, 'ent_coef': 0.005, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'policy_kwargs': {'net_arch': [256, 128], 'activation_fn': 'ReLU', 'ortho_init': False}, 'total_timesteps': 180000}",models\a2c\run_01\best_model\best_model.zip,models\a2c\run_01\final_model.zip,,,180000.0,86.766666625,48.64480955961969,92.0666665,50.0,models\a2c\run_01\eval_logs\evaluations.npz,110.162499875,1.0
A2C,run_03,run,715.1821787999943,102.075000125,46.941209509468386,100.18333337499999,,"{'learning_rate': 0.0009, 'gamma': 0.97, 'n_steps': 10, 'gae_lambda': 0.92, 'ent_coef': 0.015, 'vf_coef': 0.4, 'max_grad_norm': 0.5, 'policy_kwargs': {'net_arch': [256, 256], 'activation_fn': 'ReLU', 'ortho_init': False}, 'total_timesteps': 180000}",models\a2c\run_03\best_model\best_model.zip,models\a2c\run_03\final_model.zip,,,180000.0,52.479166625000005,38.95057027022894,45.216667,50.0,models\a2c\run_03\eval_logs\evaluations.npz,102.075000125,2.0
A2C,run_09,run,1101.9494512999663,88.69583324999999,60.727328624208724,122.662500125,,"{'learning_rate': 0.00035, 'gamma': 0.99, 'n_steps': 5, 'gae_lambda': 0.96, 'ent_coef': 0.0, 'vf_coef': 0.5, 'max_grad_norm': 0.6, 'policy_kwargs': {'net_arch': [256, 256, 128], 'activation_fn': 'Tanh', 'ortho_init': True}, 'total_timesteps': 180000}",models\a2c\run_09\best_model\best_model.zip,models\a2c\run_09\final_model.zip,,,180000.0,-28.895833375,27.251409165711298,-34.8833335,50.0,models\a2c\run_09\eval_logs\evaluations.npz,88.69583324999999,3.0
A2C,run_07,run,968.6377549000317,67.833333375,53.49548514116765,82.69583312500001,,"{'learning_rate': 0.0008, 'gamma': 0.97, 'n_steps': 5, 'gae_lambda': 0.9, 'ent_coef': 0.02, 'vf_coef': 0.4, 'max_grad_norm': 0.5, 'policy_kwargs': {'net_arch': [256, 256], 'activation_fn': 'ReLU', 'ortho_init': False}, 'total_timesteps': 180000}",models\a2c\run_07\best_model\best_model.zip,models\a2c\run_07\final_model.zip,,,180000.0,82.69583312500001,42.3367138878032,82.45,50.0,models\a2c\run_07\eval_logs\evaluations.npz,67.833333375,4.0
A2C,run_05,run,754.9265871000243,57.6666665,51.871513360123245,112.6,,"{'learning_rate': 0.0006, 'gamma': 0.99, 'n_steps': 8, 'gae_lambda': 0.97, 'ent_coef': 0.0, 'vf_coef': 0.5, 'max_grad_norm': 0.6, 'policy_kwargs': {'net_arch': [256, 256], 'activation_fn': 'ELU', 'ortho_init': True}, 'total_timesteps': 180000}",models\a2c\run_05\best_model\best_model.zip,models\a2c\run_05\final_model.zip,,,180000.0,112.6,41.97513158962896,115.866667,50.0,models\a2c\run_05\eval_logs\evaluations.npz,57.6666665,5.0
A2C,run_06,run,670.4728963000234,51.908333250000005,77.99418736225547,41.95,,"{'learning_rate': 0.0002, 'gamma': 0.995, 'n_steps': 10, 'gae_lambda': 0.95, 'ent_coef': 0.002, 'vf_coef': 0.6, 'max_grad_norm': 0.6, 'policy_kwargs': {'net_arch': [256, 128], 'activation_fn': 'Tanh', 'ortho_init': True}, 'total_timesteps': 180000}",models\a2c\run_06\best_model\best_model.zip,models\a2c\run_06\final_model.zip,,,180000.0,41.95,43.572946527824655,44.283333,50.0,models\a2c\run_06\eval_logs\evaluations.npz,51.908333250000005,6.0
A2C,run_00,run,1004.1110772000393,34.099999999999994,48.284555732570084,27.875,,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 5, 'gae_lambda': 0.95, 'ent_coef': 0.01, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'policy_kwargs': {'net_arch': [256, 256], 'activation_fn': 'ReLU', 'ortho_init': True}, 'total_timesteps': 180000}",models\a2c\run_00\best_model\best_model.zip,models\a2c\run_00\final_model.zip,,,180000.0,2.9749999999999996,33.35156077074122,6.7666664999999995,50.0,models\a2c\run_00\eval_logs\evaluations.npz,34.099999999999994,7.0
A2C,run_02,run,845.3615472000092,-17.5625,38.57767938707131,5.204166625000001,,"{'learning_rate': 0.0003, 'gamma': 0.995, 'n_steps': 5, 'gae_lambda': 0.96, 'ent_coef': 0.0, 'vf_coef': 0.6, 'max_grad_norm': 0.6, 'policy_kwargs': {'net_arch': [256, 256, 128], 'activation_fn': 'Tanh', 'ortho_init': True}, 'total_timesteps': 180000}",models\a2c\run_02\best_model\best_model.zip,models\a2c\run_02\final_model.zip,,,180000.0,5.204166625000001,35.65658925493003,-12.216667000000001,50.0,models\a2c\run_02\eval_logs\evaluations.npz,-17.5625,8.0
A2C,run_08,run,702.1170802999986,-27.78333325,11.880527943399189,-6.4416667499999996,,"{'learning_rate': 0.001, 'gamma': 0.96, 'n_steps': 8, 'gae_lambda': 0.9, 'ent_coef': 0.02, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'policy_kwargs': {'net_arch': [128, 128], 'activation_fn': 'ReLU', 'ortho_init': False}, 'total_timesteps': 180000}",models\a2c\run_08\best_model\best_model.zip,models\a2c\run_08\final_model.zip,,,180000.0,-23.2083335,27.80891518505252,-11.8166665,50.0,models\a2c\run_08\eval_logs\evaluations.npz,-27.78333325,9.0
A2C,run_04,run,884.0291115000146,-149.12083325,2.202078476658169,-151.275000125,,"{'learning_rate': 0.0004, 'gamma': 0.98, 'n_steps': 5, 'gae_lambda': 0.95, 'ent_coef': 0.005, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'policy_kwargs': {'net_arch': [128, 128], 'activation_fn': 'ReLU', 'ortho_init': False}, 'total_timesteps': 180000}",models\a2c\run_04\best_model\best_model.zip,models\a2c\run_04\final_model.zip,,,180000.0,-151.5541665,2.761136017968374,-151.033333,50.0,models\a2c\run_04\eval_logs\evaluations.npz,-149.12083325,10.0
